epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,71.8443,1.72021,2.16463,1.19933,0.56693,0.29314,0.35589,0.17821,1.81103,3.34425,1.42628,0.0099,0.0033,0.0099,0.0033,0.0099,0.0033,0.0099,0.0033
2,136.17,1.65373,1.2535,1.11205,0.32507,0.33069,0.17779,0.07117,2.16299,3.42054,1.83435,0.0197687,0.00658955,0.0197687,0.00658955,0.0197687,0.00658955,0.0197687,0.00658955
3,200.861,1.71153,1.15475,1.13428,0.38331,0.187,0.17475,0.06937,2.54973,4.22861,2.12999,0.0295053,0.00983511,0.0295053,0.00983511,0.0295053,0.00983511,0.0295053,0.00983511
4,265.271,1.72644,1.11333,1.15889,0.07835,0.0787,0.02681,0.01301,2.80339,12.7488,2.65832,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,330.729,1.68404,1.01864,1.13468,0.50894,0.18628,0.20133,0.09132,2.34881,5.6321,1.92398,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,397.6,1.61886,0.95315,1.11407,0.28488,0.22238,0.13093,0.04687,2.35437,4.39597,1.95274,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,461.903,1.57466,0.9073,1.09675,0.09606,0.12635,0.02966,0.01421,2.33971,6.45868,1.9037,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,526.343,1.55217,0.88244,1.08446,0.16777,0.18917,0.08611,0.04337,2.10196,5.99966,1.78431,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,591.492,1.52958,0.85081,1.07044,0.68916,0.29964,0.34171,0.16859,2.00684,2.89494,1.66412,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,656.961,1.51192,0.8324,1.06375,0.48146,0.29162,0.28216,0.13394,2.24455,3.07896,1.8384,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,720.953,1.48536,0.80659,1.05118,0.53315,0.35812,0.33734,0.17367,2.01682,2.80812,1.61565,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,784.801,1.47175,0.79523,1.04769,0.45488,0.31873,0.26914,0.14278,2.02374,3.35198,1.68031,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,850.203,1.45538,0.78109,1.03997,0.54121,0.31264,0.27466,0.13515,1.99205,3.05733,1.56185,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
