epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,77.1594,1.72132,2.19303,1.20811,0.46532,0.29407,0.24756,0.12367,1.76655,3.40688,1.42165,0.0099,0.0033,0.0099,0.0033,0.0099,0.0033,0.0099,0.0033
2,145.648,1.65658,1.22428,1.1136,0.27957,0.2065,0.18679,0.06889,2.00909,5.48032,1.63166,0.0197687,0.00658955,0.0197687,0.00658955,0.0197687,0.00658955,0.0197687,0.00658955
3,215.293,1.71351,1.14824,1.13374,0.00867,0.03466,0.00145,0.00043,2.9524,7.52808,2.64391,0.0295053,0.00983511,0.0295053,0.00983511,0.0295053,0.00983511,0.0295053,0.00983511
4,283.964,1.73013,1.11463,1.15425,0.24838,0.25487,0.10645,0.03539,2.57739,10.5023,2.26779,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,351.717,1.67137,1.01672,1.13398,0.36881,0.24188,0.20922,0.08726,2.3166,4.53879,1.82635,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,419.72,1.61688,0.94945,1.11216,0.37296,0.33357,0.21418,0.10416,2.12849,3.38649,1.71876,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,487.892,1.58144,0.90729,1.09642,0.30577,0.26065,0.19055,0.07286,2.36538,3.7324,1.92139,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,555.136,1.56316,0.88635,1.0833,0.38905,0.3343,0.25508,0.10071,2.22361,2.91325,1.74123,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,624.232,1.53007,0.85087,1.0758,0.53061,0.38484,0.38304,0.19929,1.9535,2.99241,1.56462,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,692.421,1.5139,0.83447,1.06302,0.55551,0.24982,0.24842,0.1063,2.3784,3.78153,1.93945,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,760.574,1.48092,0.80315,1.05465,0.3396,0.25804,0.16519,0.07414,2.33086,3.95904,1.95619,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,827.329,1.48689,0.79792,1.04554,0.4863,0.33574,0.30633,0.15539,2.07595,2.95283,1.66707,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,894.412,1.47118,0.78398,1.0431,0.38306,0.28303,0.21875,0.11401,2.09718,4.19609,1.68593,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,961.225,1.45677,0.77017,1.03815,0.31946,0.28809,0.21078,0.09864,2.15967,3.36195,1.69885,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1028.43,1.45895,0.76304,1.0332,0.34514,0.28014,0.17605,0.06353,2.48293,3.91661,1.98557,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1096.31,1.43614,0.75068,1.02846,0.45934,0.3083,0.25562,0.13545,2.1372,2.92073,1.69462,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1163.12,1.41963,0.73569,1.02005,0.43763,0.27581,0.22954,0.10351,2.2252,3.49857,1.72011,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1230.72,1.42041,0.72942,1.02178,0.48087,0.311,0.24851,0.13645,1.89713,3.04825,1.56652,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,1297.77,1.41744,0.72544,1.02025,0.48922,0.33955,0.25055,0.11986,2.25129,3.2075,1.82143,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,1365.64,1.39012,0.71331,1.01328,0.4404,0.34513,0.29265,0.13837,2.15296,3.32282,1.76558,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,1433.84,1.40224,0.71031,1.01212,0.47187,0.33213,0.29433,0.13832,2.17311,2.69035,1.80989,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1501.53,1.38013,0.70336,1.00718,0.51581,0.35596,0.31945,0.19157,1.87049,3.05161,1.50107,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1569.47,1.3733,0.6974,1.009,0.54932,0.4,0.32922,0.17781,1.90047,3.07146,1.50166,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1637,1.36839,0.68514,1.00214,0.51946,0.30127,0.28286,0.16332,1.9347,3.24932,1.50997,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,1704.08,1.37227,0.68559,0.99996,0.52197,0.39928,0.35038,0.17241,2.00258,2.74652,1.61905,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,1772.67,1.35897,0.68322,0.99789,0.44134,0.33197,0.26887,0.14913,2.02484,3.3453,1.59244,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,1840.83,1.36137,0.67693,0.99743,0.54461,0.33863,0.27791,0.14353,2.00073,3.12519,1.53275,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,1908.08,1.34617,0.67235,0.9935,0.49182,0.39134,0.28207,0.13953,2.06063,2.97693,1.62604,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,1975.45,1.3429,0.66624,0.99022,0.40032,0.37017,0.23553,0.1323,1.97441,3.42966,1.60267,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
