epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,74.0553,1.75121,2.15423,1.21764,0.55947,0.24116,0.28086,0.16569,1.7456,3.48918,1.52276,0.0099,0.0033,0.0099,0.0033,0.0099,0.0033,0.0099,0.0033
2,140.757,1.65263,1.22174,1.1098,0.28932,0.15018,0.13477,0.05219,2.40713,5.06327,2.00226,0.0197687,0.00658955,0.0197687,0.00658955,0.0197687,0.00658955,0.0197687,0.00658955
3,207.236,1.70912,1.14693,1.13861,0.1252,0.0296,0.01206,0.00447,3.65302,8.37438,3.40059,0.0295053,0.00983511,0.0295053,0.00983511,0.0295053,0.00983511,0.0295053,0.00983511
4,273.738,1.74348,1.13461,1.1606,0.38953,0.25848,0.21198,0.08549,2.43096,6.39926,2.01278,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,339.01,1.68032,1.02612,1.13345,0.35111,0.1639,0.13044,0.04616,2.43339,3.72518,2.07922,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,405.384,1.62793,0.96915,1.11558,0.3037,0.17762,0.13159,0.04908,2.70355,4.58977,2.36483,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,471.699,1.58531,0.90856,1.09214,0.54706,0.30903,0.3067,0.12738,2.31741,3.14471,1.78169,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,538.071,1.55262,0.88286,1.08251,0.38518,0.24982,0.20873,0.10105,2.30315,3.31879,1.85209,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,605.296,1.53412,0.85472,1.07348,0.42825,0.30036,0.28266,0.13896,2.07617,3.19209,1.73736,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,670.809,1.50458,0.82777,1.05773,0.48962,0.29025,0.27534,0.15349,2.07622,3.1343,1.75782,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
