epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,134.739,1.66925,2.18685,1.27415,0.42898,0.37906,0.25524,0.13433,1.47875,21.9673,1.35499,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858
2,262.482,1.56727,1.17327,1.17372,0.25227,0.32419,0.15558,0.0745,1.72867,36.3486,1.5501,0.019824,0.00660801,0.019824,0.00660801,0.019824,0.00660801,0.019824,0.00660801
3,388.406,1.62486,1.13169,1.20736,0.26478,0.2065,0.09778,0.03535,2.29529,37.8555,1.91976,0.0295603,0.00985345,0.0295603,0.00985345,0.0295603,0.00985345,0.0295603,0.00985345
4,514.207,1.61704,1.05541,1.20834,0.36428,0.38412,0.19369,0.0757,1.9652,15.9729,1.76496,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,640.566,1.57083,0.97909,1.19254,0.34059,0.33863,0.202,0.09389,1.87364,25.4212,1.58149,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,767.349,1.53092,0.92061,1.17494,0.40157,0.37545,0.25463,0.10455,2.02792,16.1556,1.78925,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,892.668,1.50317,0.88667,1.16214,0.45851,0.4726,0.32992,0.15384,1.77313,5.6842,1.53643,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1017.75,1.48102,0.85062,1.14385,0.51422,0.38368,0.33555,0.18017,1.62085,5.96124,1.45885,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1144.01,1.44924,0.82439,1.13838,0.46865,0.27001,0.23517,0.11991,1.86182,4.46518,1.69787,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1269.03,1.44997,0.80439,1.12539,0.496,0.34874,0.30214,0.11198,2.01991,6.46517,1.79763,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1393.99,1.44633,0.79466,1.12093,0.50754,0.36612,0.33223,0.20526,1.55067,3.64682,1.41929,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1519,1.43223,0.77966,1.11198,0.52457,0.38267,0.30823,0.14909,1.83305,3.36015,1.68824,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1644.36,1.4145,0.75858,1.11554,0.60965,0.41372,0.40053,0.19451,1.81654,3.5766,1.60557,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1769.26,1.39931,0.74996,1.10337,0.74151,0.42816,0.45745,0.24977,1.65965,7.86002,1.4256,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1894.61,1.40689,0.7517,1.1021,0.45111,0.35884,0.32488,0.19135,1.62476,6.94909,1.43944,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2019.92,1.37865,0.72009,1.09427,0.69633,0.34603,0.4131,0.20166,1.61737,3.09428,1.43528,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2145.36,1.37218,0.7166,1.0905,0.58599,0.36751,0.37998,0.21355,1.6696,4.72315,1.49796,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2270.41,1.3683,0.71409,1.08782,0.63289,0.43466,0.43133,0.24344,1.64076,3.36601,1.44416,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2395.98,1.3537,0.69929,1.08007,0.60517,0.4,0.38776,0.21807,1.63645,3.32542,1.44558,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2519.65,1.35119,0.6947,1.0796,0.81427,0.45271,0.50562,0.28463,1.5387,3.03499,1.35246,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2643.75,1.33905,0.68337,1.07348,0.81597,0.45458,0.52199,0.30206,1.52799,2.23337,1.34822,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,2767.45,1.33288,0.67359,1.07431,0.63419,0.40939,0.43717,0.26567,1.50787,3.37508,1.36165,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,2891.71,1.33452,0.67659,1.07741,0.4696,0.38412,0.27537,0.14799,1.65651,6.63228,1.48174,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3016.76,1.32955,0.66804,1.06845,0.57098,0.40936,0.33128,0.17574,1.64454,3.33874,1.4809,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,3139.7,1.3322,0.66911,1.06576,0.62504,0.4787,0.49457,0.28103,1.54349,3.04832,1.38143,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,3262.98,1.31978,0.65963,1.06317,0.57327,0.48375,0.3615,0.19549,1.51157,3.78727,1.37606,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,3385.63,1.319,0.65677,1.0602,0.59861,0.42317,0.37106,0.2309,1.50503,2.95434,1.36866,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,3507.85,1.3221,0.65917,1.06184,0.69714,0.41384,0.40359,0.23183,1.55751,3.20305,1.44138,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,3629.93,1.2895,0.63863,1.05061,0.62952,0.41444,0.43321,0.26241,1.60547,4.28775,1.46854,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,3750.2,1.29437,0.63771,1.05685,0.5612,0.42015,0.39665,0.23544,1.53257,4.41796,1.38176,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,3869.4,1.29623,0.64028,1.05002,0.72895,0.39223,0.44372,0.26148,1.55642,3.32896,1.38011,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,3988.12,1.2927,0.63217,1.04936,0.54608,0.45271,0.39649,0.22272,1.5328,3.17085,1.36805,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4107.62,1.29924,0.63831,1.05084,0.75183,0.44185,0.47471,0.27838,1.55805,3.59539,1.35507,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,4226.36,1.29255,0.6309,1.04429,0.76732,0.41733,0.44238,0.26257,1.59072,3.96502,1.42676,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,4345.44,1.27423,0.62312,1.04013,0.62328,0.43682,0.41956,0.24836,1.49051,2.74208,1.37351,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,4466.08,1.26869,0.62003,1.04009,0.65661,0.44477,0.44255,0.27116,1.43385,3.22841,1.31186,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,4590.54,1.27476,0.61618,1.03968,0.54715,0.42166,0.33361,0.19777,1.53599,4.40645,1.35106,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
