epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1199.66,1.71101,1.99461,1.19565,0.543,0.37834,0.41108,0.22444,1.59502,7.54835,1.33657,0.00995192,0.00331731,0.00995192,0.00331731,0.00995192,0.00331731,0.00995192,0.00331731
2,1431.89,1.63546,1.1749,1.11124,0.09348,0.1213,0.03818,0.0162,2.3175,13.0306,2.01414,0.0198202,0.00660675,0.0198202,0.00660675,0.0198202,0.00660675,0.0198202,0.00660675
3,1494.32,1.71472,1.15756,1.14634,0.16547,0.16895,0.06585,0.02573,2.50781,20.0339,2.07949,0.0295566,0.00985219,0.0295566,0.00985219,0.0295566,0.00985219,0.0295566,0.00985219
4,1573.14,1.70338,1.07097,1.14954,0.42948,0.24549,0.2162,0.08399,2.18298,7.89257,1.76233,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
