epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2851,2.19089,3.25833,1.35046,0.00283,0.76119,0.00916,0.00375,1.92362,3.63722,1.37252,0.000952381,0.000952381,0.000952381
2,6.00178,2.24278,2.25154,1.25508,0.00227,0.73134,0.01182,0.00383,2.20145,3.61772,1.442,0.0013081,0.0013081,0.0013081
3,8.66116,2.29587,2.14054,1.23068,0.00259,0.8209,0.1549,0.04567,2.08108,3.13749,1.42364,0.00068,0.00068,0.00068
