epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,116.61,1.64105,2.26338,1.25607,0.46254,0.41083,0.26431,0.12537,1.69303,17.6715,1.47667,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858
2,226.747,1.57555,1.17919,1.1795,0.25647,0.28303,0.15504,0.06797,1.81509,96.222,1.58988,0.019824,0.00660801,0.019824,0.00660801,0.019824,0.00660801,0.019824,0.00660801
3,336.239,1.62029,1.12153,1.20832,0.64676,0.3083,0.33851,0.15483,1.88693,14.7079,1.61925,0.0295603,0.00985345,0.0295603,0.00985345,0.0295603,0.00985345,0.0295603,0.00985345
4,445.307,1.613,1.06567,1.21612,0.26025,0.1994,0.12387,0.06433,2.14125,14.6919,1.89306,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,554.692,1.57688,0.98548,1.19562,0.27628,0.25776,0.13662,0.06013,1.97483,14.8026,1.76605,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,664.072,1.54753,0.93675,1.18365,0.41052,0.40361,0.23607,0.09711,1.83351,14.1402,1.6145,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,772.897,1.51611,0.8901,1.16595,0.56892,0.31913,0.34913,0.18411,1.60054,9.16213,1.4834,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,881.377,1.48548,0.8548,1.15392,0.52348,0.3769,0.33537,0.16929,1.68957,8.17103,1.49548,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,990.544,1.47537,0.83826,1.14601,0.52955,0.24707,0.23624,0.12657,2.08086,7.50477,1.89315,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1100.87,1.45459,0.80265,1.1324,0.66495,0.38339,0.36393,0.18555,1.76125,3.00013,1.55598,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1208.65,1.4367,0.78941,1.12585,0.54701,0.43071,0.37176,0.18759,1.63961,4.38821,1.47634,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1317.54,1.44164,0.7857,1.12235,0.5324,0.40217,0.37672,0.20134,1.60355,5.88352,1.42652,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1426.99,1.40911,0.76061,1.11375,0.59766,0.35668,0.38143,0.20314,1.63432,3.69565,1.43115,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1535.55,1.41573,0.75773,1.11004,0.60886,0.39224,0.40777,0.21061,1.62844,4.05764,1.42828,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1644.53,1.39757,0.7417,1.0995,0.56266,0.43827,0.41982,0.20758,1.69049,6.00573,1.51002,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,1752.63,1.39127,0.72748,1.09736,0.58325,0.45199,0.40774,0.2349,1.56959,4.59821,1.4069,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,1861.33,1.38763,0.72518,1.0927,0.5996,0.42166,0.39769,0.1987,1.66847,5.51362,1.4524,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,1971.96,1.36949,0.71321,1.08866,0.74848,0.44621,0.49817,0.24506,1.7085,2.71349,1.47474,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2082.9,1.35607,0.70355,1.08489,0.69966,0.38182,0.43247,0.25738,1.62337,3.38572,1.42231,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2193.87,1.35504,0.70067,1.078,0.63394,0.41733,0.39295,0.21841,1.57545,3.24384,1.43191,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2304.22,1.34905,0.6862,1.07407,0.63597,0.37842,0.3742,0.21603,1.52796,3.6109,1.37382,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,2415.43,1.34776,0.6857,1.08054,0.64529,0.41506,0.38915,0.22595,1.59129,2.85284,1.4184,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,2525.89,1.34312,0.67954,1.06949,0.49003,0.41083,0.38435,0.23157,1.51797,2.87378,1.40311,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,2636.06,1.32944,0.67037,1.07131,0.70772,0.34091,0.40075,0.24522,1.55943,11.8984,1.3629,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,2746.06,1.32584,0.66453,1.06547,0.62676,0.38412,0.39099,0.23471,1.58466,5.61313,1.43565,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,2856.11,1.31421,0.6614,1.06434,0.73265,0.41805,0.46085,0.27874,1.5622,5.51035,1.40602,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,2967.23,1.30927,0.65387,1.0603,0.66482,0.37184,0.37475,0.20224,1.68168,7.34956,1.45844,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,3078.64,1.31444,0.65399,1.05917,0.66978,0.41805,0.42178,0.25698,1.49606,4.67471,1.36267,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,3189.9,1.31009,0.64973,1.05149,0.61786,0.3935,0.37882,0.22082,1.5468,3.91399,1.39454,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,3300.97,1.30663,0.64553,1.05124,0.62679,0.41956,0.39076,0.22877,1.5236,4.08636,1.38058,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,3412.07,1.29012,0.64089,1.04828,0.67051,0.46787,0.46662,0.26489,1.54644,2.61998,1.39588,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
